transaction_id,transaction_date,transaction_time,store_id,customer_id,product_id,quantity,unit_price,discount_pct,total_amount,payment_method
TXN0004649,2025-12-24,17:24:44,NS012,C00048,P0035,3,449,20,1077.6,Debit Card
TXN0000361,02/26/2025,16:59:43,NS003,C00478,P0044,1,279,5,265.05,Wallet
TXN0002117,12/12/2025,17:04:22,NS014,C00311,P0050,2,1499,5,2848.1,
TXN0001153,12/08/2025,10:20:50,NS003,C00044,P0017,3,1199,0,3597.0,Wallet
TXN0003942,05-09-2025,20:42:24,NS015,C00194,P0050,1,1499,0,1499.0,UPI
TXN0002594,2025-04-05,11:00:04,NS010,C00460,P0002,5,3299,5,15670.25,UPI
TXN0002075,2025-06-19,19:41:06,NS005,C00528,P0042,1,299,20,239.2,Credit Card
TXN0001020,2025-11-27,20:07:03,NS002,C00380,P0029,3,199,0,597.0,Wallet
TXN0001861,2025-06-19,17:25:20,NS006,C00368,P0032,2,799,0,1598.0,UPI
TXN0000790,14/02/2025,16:55:56,NS010,C00280,P0018,1,2499,20,1999.2,Cash
TXN0006455,2025-02-21,20:09:55,NS005,C00444,P0007,2,799,10,1438.2,UPI
TXN0005148,2025-03-02,12:15:09,NS005,C00484,P0032,2,799,15,1358.3,Credit Card
TXN0000342,2025-04-07,15:10:43,NS005,C00105,P0010,2,599,0,1198.0,Cash
TXN0000883,2025-01-12,13:21:32,NS005,C00511,P0047,4,449,0,1796.0,Wallet
TXN0000769,17/06/2025,14:09:20,NS014,C00385,P0036,1,349,15,296.65,Credit Card
TXN0003292,2025-07-01,17:20:21,NS009,C00511,P0021,2,599,0,1198.0,Credit Card
TXN0000059,10-08-2025,15:17:07,NS011,C00531,P0030,4,399,10,1436.4,Wallet
TXN0003977,02/04/2025,17:09:35,NS008,C00097,P0017,2,1199,10,2158.2,Wallet
TXN0004610,2025-10-05,16:26:05,NS013,C00312,P0020,3,3999,0,11997.0,UPI
TXN0002767,05-01-2025,18:31:55,NS015,C00068,P0018,1,2499,15,2124.15,UPI
TXN0004166,05/11/2025,16:35:36,NS015,C00096,P0046,1,199,0,199.0,Debit Card
TXN0001054,07-08-2025,12:55:52,NS009,C00249,P0008,3,3499,0,10497.0,Wallet
TXN0002807,2025-06-05,21:19:55,NS015,C00502,P0014,3,899,10,2427.3,UPI
TXN0001056,06/10/2025,15:25:43,NS015,C00122,P0030,2,399,0,798.0,Debit Card
TXN0002719,25/08/2025,09:46:15,NS003,C00007,P0033,2,999,20,1598.4,Wallet
TXN0002698,2025-04-03,15:05:29,NS003,C00512,P0022,3,189,0,567.0,Credit Card
TXN0003954,2025-08-10,15:48:03,NS012,C00084,P0038,1,149,0,149.0,Credit Card
TXN0004032,10/02/2025,19:56:18,NS015,C00121,P0049,1,199,0,199.0,Cash
TXN0004145,05/07/2025,12:46:08,NS010,C00489,P0031,3,1299,0,3897.0,Cash
TXN0004488,2025-05-13,15:36:49,NS005,C00482,P0017,3,1199,0,3597.0,Credit Card
TXN0000334,2025-04-26,12:46:57,NS013,C00378,P0035,1,449,0,449.0,Credit Card
TXN0006524,2025-03-21,20:00:00,NS015,C00139,P9842,2,763,0,2478,UPI
TXN0005852,2025-11-30,17:31:34,NS014,C00215,P0023,1,159,10,143.1,Credit Card
TXN0001035,2025-03-26,12:00:00,NS011,C00527,P0028,3,25,15,63.75,Debit Card
TXN0001760,11/05/2025,10:44:34,NS014,C00451,P0024,3,449,0,1347.0,UPI
TXN0001644,17/04/2025,15:30:26,NS012,C00142,P0023,3,159,0,477.0,UPI
TXN0003297,2025-02-04,17:59:09,NS006,C00397,P0003,3,4999,0,14997.0,Wallet
TXN0002415,23-06-2025,18:29:06,NS008,C00505,P0006,2,399,0,798.0,UPI
TXN0005145,2025-08-19,16:47:28,NS013,C00424,P0029,3,199,0,597.0,Wallet
TXN0003757,09/12/2025,12:08:46,NS003,C00042,P0041,1,249,0,249.0,Credit Card
TXN0000972,2025-09-03,19:37:45,NS012,C00139,P0004,3,1499,0,4497.0,Wallet
TXN0000522,2025-08-12,12:09:43,NS009,C00384,P0001,2,2499,0,4998.0,Credit Card
TXN0005361,05-12-2025,10:57:19,NS001,C00348,P0028,2,25,0,50.0,UPI
TXN0000524,2025-02-19,14:48:59,NS003,C00410,P0050,2 pcs,1499,5,2848.1,Debit Card
TXN0005100,2025-02-20,18:05:29,NS015,C00301,P0027,1,249,0,249.0,Debit Card
TXN0003318,10/04/2025,19:56:21,NS009,C00186,P0019,4 pcs,799,20,2556.8,UPI
TXN0002904,2025-04-27,21:05:12,NS012,C00122,P0033,3,999,10,2697.3,Debit Card
TXN0004128,2025-12-07,13:52:31,NS006,C00393,P0005,5,1899,15,8070.75,Cash
TXN0001679,25/06/2025,21:06:37,NS003,C00186,P0026,2,299,0,598.0,UPI
TXN0005769,2025-02-05,19:49:22,NS005,C00257,P0002,3,3299,0,9897.0,Wallet
TXN0000424,2025-11-19,18:41:03,NS004,C00118,P0042,1,299,0,299.0,Wallet
TXN0001337,2025-08-24,19:41:56,NS011,C00511,P0004,1 pcs,1499,20,1199.2,UPI
TXN0003970,28/05/2025,10:37:07,NS007,C00198,P0044,2,279,10,502.2,Cash
TXN0004135,25/03/2025,21:50:13,NS009,C00504,P0009,3,2199,0,6597.0,Debit Card
TXN0003808,2025-05-12,19:53:36,NS013,C00118,P0015,3,1799,20,4317.6,Wallet
TXN0001802,11/04/2025,19:00:30,NS008,C00280,P0024,3,449,5,1279.65,Credit Card
TXN0005194,17-02-2025,19:38:21,NS005,C00114,P0030,1,399,0,399.0,Cash
TXN0001007,08/07/2025,14:08:56,NS001,C00079,P0020,3,3999,0,11997.0,Cash
TXN0006055,16-05-2025,12:52:09,NS015,C00015,P0003,3,4999,15,12747.45,Credit Card
TXN0003093,29-09-2025,18:11:22,NS001,C00050,P0032,2,799,0,1598.0,Debit Card
TXN0002605,2025-01-15,20:41:06,NS008,C00417,P0020,1,3999,15,3399.15,UPI
TXN0005238,11/02/2025,10:10:08,NS011,C00074,P0016,1,999,20,799.2,Credit Card
TXN0001908,02-06-2025,10:27:13,NS003,C00327,P0031,1,1299,20,1039.2,Wallet
TXN0001960,2025-02-11,16:55:41,NS012,C00429,P0013,3,1299,0,3897.0,Credit Card
TXN0001160,2025-07-30,11:42:42,NS011,C00029,P0041,3,249,5,709.65,Cash
TXN0005943,25/01/2025,17:46:09,NS006,C00184,P0014,1 pcs,899,15,764.15,Credit Card
TXN0005051,20/04/2025,21:17:12,NS011,C00207,P0008,4,3499,0,13996.0,
TXN0000516,28/08/2025,21:01:28,NS013,C00468,P0038,3,149,15,379.95,Debit Card
TXN0003969,11-09-2025,16:43:33,NS005,C00143,P0018,2,2499,0,4998.0,Debit Card
TXN0001810,05/01/2025,18:07:00,NS014,C00222,P0038,1,149,0,149.0,UPI
TXN0001022,08/20/2025,18:51:10,NS007,C00431,P0050,3,1499,15,3822.45,Credit Card
