inventory_id,snapshot_date,store_id,product_id,opening_stock,units_sold,units_received,closing_stock
INV0000107,2025-01-01,NS004,P0031,87,53,67,101
INV0004858,2025-10-01,NS004,P0018,185,115,12,82
INV0001458,2025-03-01,NS012,P0017,39,24,28,43
INV0005187,2025-10-01,NS014,P0048,176,104,23,95
INV0005556,2025-11-01,NS009,P0034,184,73,88,199
INV0000557,2025-02-01,NS001,P0002,55,13,59,101
INV0004281,2025-09-01,NS003,P0013,188,116,18,90
INV0004959,2025-10-01,NS007,P0030,67,13,97,151
INV0000348,2025-01-01,NS010,P0009,28,0,21,49
INV0000509,2025-01-01,NS015,P0016,192,21,3,174
INV0005461,2025-11-01,NS007,P0040,177,165,,81
INV0000235,2025-01-01,NS007,P0043,34,8,52,78
INV0004776,2025-10-01,NS002,P0039,86,77,88,97
INV0000548,2025-02-01,NS001,P0022,55,22,69,102
INV0002007,2025-04-01,NS013,P0002,154,69,2,87
INV0001061,2025-03-01,NS001,P0021,130,66,43,107
INV0003054,2025-06-01,NS013,P0038,70,33,37,74
INV0001566,2025-03-01,NS015,P0050,191,2,44,233
INV0000604,2025-02-01,NS003,P0005,156,141,34,49
INV0000848,2025-02-01,NS010,P0043,103,22,39,120
INV0001223,2025-03-01,NS005,P0041,85,23,16,78
INV0004821,2025-10-01,NS003,P0020,87,8,99,178
INV0005906,2025-12-01,NS004,P0038,64,24,14,54
INV0000401,2025-01-01,NS012,P0038,155,103,65,117
INV0005679,2025-11-01,NS013,P0040,151,141,44,54
INV0002096,2025-04-01,NS015,P0012,166,53,96,209
INV0003794,2025-08-01,NS004,P0028,184,73,73,184
INV0005648,2025-11-01,NS012,P0035,193,153,74,114
INV0001388,2025-03-01,NS010,P0042,126,60,42,108
INV0003807,2025-08-01,NS004,P0007,101,61,0,40
INV0005952,2025-12-01,NS006,P0005,157,1,78,234
INV0000106,2025-01-01,NS004,P0040,173,143,55,85
INV0000109,2025-01-01,NS004,P0027,23,16,94,101
INV0001953,2025-04-01,NS011,P0038,173,113,5,65
INV0005672,2025-11-01,NS013,P0038,195,91,89,193
INV0005360,2025-11-01,NS004,P0048,78,36,80,122
INV0000847,2025-02-01,NS010,P0023,196,56,23,163
INV0006207,2025-12-01,NS013,P0009,130,68,15,77
INV0004155,2025-08-01,NS014,P0034,179,80,65,164
INV0002930,2025-06-01,NS009,P0047,153,35,,139
INV0000601,2025-02-01,NS003,P0010,114,49,53,118
INV0001573,2025-03-01,NS015,P0033,110,7,36,139
INV0001404,2025-03-01,NS011,P0029,187,169,,20
INV0002979,2025-06-01,NS011,P0046,172,1,59,230
INV0005475,2025-11-01,NS007,P0009,71,25,,79
